Time,Susceptible,Infected
9.440000,239660939.035600,339060.964400
9.480000,239656852.621540,343147.378460
9.520000,239652717.040680,347282.959320
9.560000,239648531.703475,351468.296525
9.600000,239644296.013361,355703.986639
9.640000,239640009.366671,359990.633330
9.680000,239635671.152552,364328.847448
9.720000,239631280.752882,368719.247119
9.760000,239626837.542182,373162.457819
9.800000,239622340.887532,377659.112468
9.840000,239617790.148485,382209.851515
9.880000,239613184.676974,386815.323026
9.920000,239608523.817227,391476.182773
9.960000,239603806.905678,396193.094322
10.000000,239599033.270869,400966.729131
10.040000,239594202.233366,405797.766634
10.080000,239589313.105660,410686.894340
10.120000,239584365.192076,415634.807924
10.160000,239579357.788673,420642.211327
10.200000,239574290.183155,425709.816845
10.240000,239569161.654765,430838.345235
10.280000,239563971.474194,436028.525806
10.320000,239558718.903475,441281.096525
10.360000,239553403.195886,446596.804114
10.400000,239548023.595847,451976.404153
10.440000,239542579.338815,457420.661185
10.480000,239537069.651184,462930.348817
10.520000,239531493.750173,468506.249827
10.560000,239525850.843726,474149.156274
10.600000,239520140.130401,479859.869600
10.640000,239514360.799259,485639.200741
10.680000,239508512.029759,491487.970241
10.720000,239502592.991641,497407.008359
10.760000,239496602.844817,503397.155183
10.800000,239490540.739254,509459.260746
10.840000,239484405.814862,515594.185138
10.880000,239478197.201376,521802.798624
10.920000,239471914.018236,528085.981764
10.960000,239465555.374472,534444.625528
11.000000,239459120.368580,540879.631420
11.040000,239452608.088403,547391.911597
11.080000,239446017.611006,553982.388994
11.120000,239439348.002551,560651.997449
11.160000,239432598.318174,567401.681826
11.200000,239425767.601856,574232.398144
11.240000,239418854.886292,581145.113708
11.280000,239411859.192767,588140.807234
11.320000,239404779.531017,595220.468983
11.360000,239397614.899105,602385.100896
11.400000,239390364.283276,609635.716724
11.440000,239383026.657833,616973.342167
11.480000,239375600.984989,624399.015011
11.520000,239368086.214736,631913.785264
11.560000,239360481.284700,639518.715300
11.600000,239352785.120002,647214.879998
11.640000,239344996.633112,655003.366888
11.680000,239337114.723709,662885.276291
11.720000,239329138.278529,670861.721472
11.760000,239321066.171219,678933.828782
11.800000,239312897.262189,687102.737811
11.840000,239304630.398461,695369.601540
11.880000,239296264.413512,703735.586489
11.920000,239287798.127124,712201.872876
11.960000,239279230.345227,720769.654774
12.000000,239270559.859739,729440.140261
12.040000,239261785.448409,738214.551591
12.080000,239252905.874656,747094.125344
12.120000,239243919.887404,756080.112597
12.160000,239234826.220918,765173.779082
12.200000,239225623.594642,774376.405359
12.240000,239216310.713022,783689.286978
12.280000,239206886.265347,793113.734653
12.320000,239197348.925568,802651.074432
12.360000,239187697.352130,812302.647870
12.400000,239177930.187797,822069.812203
12.440000,239168046.059471,831953.940529
12.480000,239158043.578017,841956.421983
12.520000,239147921.338079,852078.661921
12.560000,239137677.917902,862322.082098
12.600000,239127311.879142,872688.120858
12.640000,239116821.766684,883178.233316
12.680000,239106206.108450,893793.891550
12.720000,239095463.415214,904536.584786
12.760000,239084592.180402,915407.819598
12.800000,239073590.879907,926409.120093
12.840000,239062457.971884,937542.028116
12.880000,239051191.896559,948808.103442
12.920000,239039791.076023,960208.923978
12.960000,239028253.914034,971746.085966
13.000000,239016578.795813,983421.204188
13.040000,239004764.087832,995235.912169
13.080000,238992808.137612,1007191.862388
13.120000,238980709.273511,1019290.726489
13.160000,238968465.804508,1031534.195492
13.200000,238956076.019992,1043923.980008
13.240000,238943538.189545,1056461.810456
13.280000,238930850.562719,1069149.437282
13.320000,238918011.368820,1081988.631181
13.360000,238905018.816681,1094981.183319
13.400000,238891871.094440,1108128.905560
13.440000,238878566.369307,1121433.630693
13.480000,238865102.787339,1134897.212661
13.520000,238851478.473206,1148521.526794
13.560000,238837691.529954,1162308.470046
13.600000,238823740.038773,1176259.961227
13.640000,238809622.058754,1190377.941246
13.680000,238795335.626650,1204664.373351
13.720000,238780878.756630,1219121.243371
13.760000,238766249.440035,1233750.559965
13.800000,238751445.645131,1248554.354869
13.840000,238736465.316853,1263534.683147
13.880000,238721306.376558,1278693.623442
13.920000,238705966.721765,1294033.278235
13.960000,238690444.225900,1309555.774100
14.000000,238674736.738035,1325263.261965
